genres,name,discount,discounted_price,original_price
['Role-playing (RPG)'],Knight Quest,-80%,$4.99,$24.99
"['Puzzle', 'Adventure']",Doctor Who: The Edge of Time,-70%,$7.49,$24.99
"['Shooter', 'Platform', 'Adventure']",Firegirl: Hack 'n Splash Rescue DX,-55%,$8.09,$17.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",Simulacra,-55%,$5.84,$12.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Heidelberg 1693,-30%,$10.49,$14.99
['Puzzle'],Hue^2,-30%,$14.99,$14.99
"['Shooter', 'Arcade']",Heavy Fire: Red Shadow,-75%,$4.99,$19.99
"['Platform', 'Adventure']",Deadlight: Director's Cut,-90%,$1.49,$14.99
"['Shooter', 'Simulator', 'Adventure', 'Indie']",DragonRide VR,-60%,$5.99,$14.99
"['Shooter', 'Indie']",Until None Remain VR,-70%,$5.99,$19.99
"['Shooter', 'Racing', 'Arcade']",Agent Intercept,-40%,$11.99,$19.99
"['Simulator', 'Sport']",Axis Football 2018,-25%,$3.74,$4.99
"['Simulator', 'Strategy']",Bomber Crew: Deluxe Edition,-75%,$6.24,$24.99
"['Simulator', 'Strategy', 'Indie']",Mars Horizon,-67%,$6.59,$19.99
"['Adventure', 'Indie']",I Saw Black Clouds,-60%,$5.19,$12.99
"['Racing', 'Indie', 'Arcade']",Hotshot Racing,-80%,$3.99,$19.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",The Serpent Rogue,-60%,$7.99,$19.99
"['Simulator', 'Adventure', 'Indie']",Manual Samuel,-80%,$1.99,$9.99
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical', 'Indie']",8-Bit Armies,-90%,$2.99,$29.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Visual Novel']",The Language of Love,-80%,$2.39,$11.99
"['Sport', 'Adventure', 'Indie']",Stikbold! A Dodgeball Adventure,-50%,$4.99,$9.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Witchcrafty,-40%,$5.99,$9.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Yaga,-75%,$6.24,$24.99
"['Shooter', 'Indie', 'Arcade']",Crisis VRigade,-50%,$4.49,$8.99
"['Adventure', 'Indie']",Last Days of Lazarus,-25%,$14.99,$19.99
"['Simulator', 'Strategy', 'Adventure', 'Indie']",Space Crew: Legendary Edition,-80%,$4.99,$24.99
"['Music', 'Sport']",Brain Beats,-50%,$7.49,$14.99
"['Shooter', 'Strategy', 'Indie']",Blood Waves,-50%,$4.99,$9.99
"['Shooter', 'Platform', 'Indie', 'Arcade']",Mighty Goose,-60%,$7.99,$19.99
"['Role-playing (RPG)', 'Adventure']",Final Fantasy XV: Pocket Edition HD,-60%,$11.99,$29.99
['Role-playing (RPG)'],Exploria,-35%,$9.09,$13.99
"['Shooter', 'Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Warhammer: End Times - Vermintide,-90%,$3.99,$39.99
"['Simulator', 'Adventure', 'Indie']",Nostalgic Train,-25%,$10.49,$13.99
"['Shooter', 'Adventure', 'Arcade']",Cotton Reboot!,-70%,$11.99,$39.99
"['Simulator', 'Strategy']",Constructor,-90%,$3.99,$39.99
"['Shooter', 'Arcade']",Dariusburst: Another Chronicle EX+,-70%,$11.99,$39.99
"['Music', 'Sport']",OhShape,-20%,$15.99,$19.99
"['Puzzle', 'Adventure', 'Indie', 'Visual Novel']",Mothmen 1966,-50%,$4.49,$8.99
"['Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel']",Highschool Romance,-50%,$6.49,$12.99
"['Music', 'Puzzle', 'Adventure', 'Indie']",The Forest Quartet,-25%,$7.49,$9.99
"['Adventure', 'Indie']",Silenced: The House,-40%,$2.99,$4.99
"['Music', 'Platform', 'Puzzle', 'Adventure', 'Indie']",Figment,-80%,$3.99,$19.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Planet Alpha,-80%,$1.99,$9.99
"['Platform', 'Role-playing (RPG)', 'Adventure', 'Indie']",Aggelos,-80%,$2.99,$14.99
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",Valthirian Arc: Hero School Story,-80%,$2.99,$14.99
"['Simulator', 'Strategy', 'Adventure', 'Indie']",Beholder: Complete Edition,-80%,$2.99,$14.99
"['Fighting', 'Arcade']",Boxer,-75%,$2.49,$9.99
"['Point-and-click', 'Puzzle', 'Adventure']",Broken Sword 5: The Serpent's Curse - Episode 1,-90%,$2.49,$24.99
"['Fighting', 'Simulator', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Drunken Fist,-80%,$1.59,$7.99
"['Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",Carto,-50%,$9.99,$19.99
"['Simulator', 'Sport', 'Arcade']",Free Throw Basketball,-40%,$2.99,$4.99
['Sport'],Pumped: BMX,-80%,$1.99,$9.99
"['Puzzle', 'Simulator', 'Adventure', 'Indie']",The Shapeshifting Detective,-60%,$5.19,$12.99
['Shooter'],Quake 3 - Hunter's Moon,-80%,$2.99,$14.99
"['Fighting', 'Platform', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Krut: The Mythic Wings,-50%,$4.99,$9.99
"['Racing', 'Simulator']",Real Farm,-70%,$11.99,$39.99
"['Shooter', 'Arcade']",Mortal Blitz,-70%,$5.99,$19.99
['Puzzle'],The Angry Birds Movie 2 VR: Under Pressure,-30%,$10.49,$14.99
"['Fighting', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",Raging Justice,-90%,$1.49,$14.99
"['Adventure', 'Indie']",Kholat,-75%,$4.99,$19.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",VirtuaVerse,-50%,$7.49,$14.99
"['Puzzle', 'Adventure', 'Indie', 'Visual Novel']",Pantsu Hunter: Back to the 90s,-60%,$5.19,$12.99
